Business Date,CCP,Member,Account ID,Account Type,Product Type,Market,Currency,FX Rate,Product Description,Cash Movement Type,Cash Movement
2020-12-04,CME,CSU,250,Client,ETD,,AUD,0.7427764986,CURRENCY,RealisedVariationMargin,125.00
2020-12-04,CME,CSU,250,Client,ETD,,AUD,0.7427764986,ETD,CashCollateralPosting,-125.00
2020-12-04,CME,CSU,250,Client,ETD,,CAD,0.7821666015,CURRENCY,RealisedVariationMargin,-1237.50
2020-12-04,CME,CSU,250,Client,ETD,,CAD,0.7821666015,ETD,CashCollateralPosting,1237.50
2020-12-04,CME,CSU,250,Client,ETD,,CHF,1.1214534036,CURRENCY,RealisedVariationMargin,13600.00
2020-12-04,CME,CSU,250,Client,ETD,,CHF,1.1214534036,ETD,CashCollateralPosting,-13600.00
2020-12-04,CME,CSU,250,Client,ETD,,GBP,1.3430029546,CURRENCY,RealisedVariationMargin,-2718.75
2020-12-04,CME,CSU,250,Client,ETD,,GBP,1.3430029546,ETD,CashCollateralPosting,2718.75
2020-12-04,CME,CSU,250,Client,ETD,,JPY,0.0096006144,CURRENCY,RealisedVariationMargin,2703750
2020-12-04,CME,CSU,250,Client,ETD,,JPY,0.0096006144,EQUITY INDICIES,RealisedVariationMargin,-95745000
2020-12-04,CME,CSU,250,Client,ETD,,JPY,0.0096006144,ETD,CashCollateralPosting,93041250
2020-12-04,CME,CSU,250,Client,ETD,,USD,1,AGRICULTURAL,RealisedVariationMargin,-11288045.87
2020-12-04,CME,CSU,250,Client,ETD,,USD,1,COMEX,RealisedVariationMargin,12922285.41
2020-12-04,CME,CSU,250,Client,ETD,,USD,1,CURRENCY,RealisedVariationMargin,-6250596.58
2020-12-04,CME,CSU,250,Client,ETD,,USD,1,DAIRY,RealisedVariationMargin,-3700.00
2020-12-04,CME,CSU,250,Client,ETD,,USD,1,EQUITY INDICIES,RealisedVariationMargin,9451595.40
2020-12-04,CME,CSU,250,Client,ETD,,USD,1,FOREST,RealisedVariationMargin,63272.00
2020-12-04,CME,CSU,250,Client,ETD,,USD,1,INTEREST RATE,RealisedVariationMargin,94895299.59
2020-12-04,CME,CSU,250,Client,ETD,,USD,1,NYMEX,RealisedVariationMargin,29122085.90
2020-12-04,CME,CSU,250,Client,ETD,,USD,1,ETD,BankTransfer,-8343195.85
2020-12-04,CME,CSU,250,House,ETD,,JPY,0.0096006144,EQUITY INDICIES,RealisedVariationMargin,-2052500
2020-12-04,CME,CSU,250,House,ETD,,JPY,0.0096006144,ETD,CashCollateralPosting,2052500
2020-12-04,CME,CSU,250,House,ETD,,USD,1,COMEX,RealisedVariationMargin,-231403.41
2020-12-04,CME,CSU,250,House,ETD,,USD,1,EQUITY INDICIES,RealisedVariationMargin,-6996017.20
2020-12-04,CME,CSU,250,House,ETD,,USD,1,INTEREST RATE,RealisedVariationMargin,5673719.72
2020-12-04,CME,CSU,250,House,ETD,,USD,1,NYMEX,RealisedVariationMargin,-950898.29
2020-12-04,CME,CSU,250,House,ETD,,USD,1,ETD,BankTransfer,3698599.18
2020-12-04,CME,CSU,250F,Client,ETD,,USD,1,Cleared OTC,RealisedVariationMargin,344900.16
2020-12-04,CME,CSU,250F,Client,ETD,,USD,1,ETD,BankTransfer,-344900.16
2020-12-04,CME,CSU,250I,Client,IRS,,AUD,0.7427764986,IRS,RealisedVariationMargin,-190412.32
2020-12-04,CME,CSU,250I,Client,IRS,,AUD,0.7427764986,IRS,BankTransfer,190412.32
2020-12-04,CME,CSU,250I,Client,IRS,,CAD,0.7821666015,IRS,RealisedVariationMargin,-581932.57
2020-12-04,CME,CSU,250I,Client,IRS,,CAD,0.7821666015,IRS,BankTransfer,581932.57
2020-12-04,CME,CSU,250I,Client,IRS,,CZK,0.045776437,IRS,RealisedVariationMargin,-15657734.58
2020-12-04,CME,CSU,250I,Client,IRS,,CZK,0.045776437,IRS,BankTransfer,15657734.58
2020-12-04,CME,CSU,250I,Client,IRS,,EUR,1.2119743061,IRS,RealisedVariationMargin,-2946935.19
2020-12-04,CME,CSU,250I,Client,IRS,,EUR,1.2119743061,IRS,BankTransfer,2946935.19
