Business Date,CCP,Member,Account ID,Account Type,Product Type,Market,Currency,FX Rate,Collateral Type,Collateral Description,Market Value,Excess,Haircut
2020-12-08,CME,CSU,250,Client,ETD,,AUD,0.7409602845,Cash,,504025.00,501505.00,0
2020-12-08,CME,CSU,250,Client,ETD,,CAD,0.7799095305,Cash,,44731.25,42231.25,0
2020-12-08,CME,CSU,250,Client,ETD,,CHF,1.1248593926,Cash,,83875.00,0.00,0
2020-12-08,CME,CSU,250,Client,ETD,,EUR,1.210653753,Cash,,1258000.00,0.00,0
2020-12-08,CME,CSU,250,Client,ETD,,GBP,1.3351134846,Cash,,3051453.92,1171510.90,0
2020-12-08,CME,CSU,250,Client,ETD,,JPY,0.0095996928,Cash,,1796486536,0,0
2020-12-08,CME,CSU,250,Client,ETD,,SEK,0.1180484235,Cash,,117437.50,117437.50,0
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912796TY5,149991.85,0.00,0.005
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 9127962Q1,9996625.00,0.00,0.005
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 9127963K3,19181173.91,0.00,0.005
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 9127963T4,24644562.32,0.00,0.005
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810QA9,171047.50,0.00,0.08
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810RY6,250413.64,0.00,0.08
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810RD2,906305.40,0.00,0.08
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 91282CAE1,1115930.96,0.00,0.045
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810RP5,1621301.92,0.00,0.08
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810RB6,1712411.04,0.00,0.08
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810SD1,2125328.80,0.00,0.08
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810SH2,3271113.60,0.00,0.08
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810SS8,49577500.00,0.00,0.08
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828TE0,25210477.25,25210477.25,0.02
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828YL8,22705410.00,22705410.00,0.03
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810PZ5,20619337.20,20619337.20,0.045
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810QP6,12997670.00,12997670.00,0.08
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828V49,12651496.35,12651496.35,0.045
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828Q60,2598633.24,2598633.24,0.01
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828H45,1461885.60,1461885.60,0.03
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810RF7,1062217.80,581409.00,0.08
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828X39,925240.20,0.00,0.02
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 9128285W6,743744.14,0.00,0.045
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 9128283R9,519593.00,0.00,0.045
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828S50,515479.35,0.00,0.045
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828Y38,392386.92,0.00,0.045
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828SA9,233629.13,0.00,0.02
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810PV4,124864.68,0.00,0.045
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912810FR4,48531.60,0.00,0.03
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828QV5,21081.42,0.00,0.01
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 9128285M8,165928.00,0.00,0.045
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828XT2,153850.80,0.00,0.03
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 9128286B1,196348.30,0.00,0.045
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828Z94,390554.72,0.00,0.045
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 9128284V9,1621737.00,0.00,0.045
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828N30,3149010.00,0.00,0.02
2020-12-08,CME,CSU,250,Client,ETD,,USD,1,Bond,CUSIP 912828L24,4954279.53,0.00,0.02
